id,doi,doi_norm,donor,acceptor,donor_canonical,acceptor_canonical,donor_smiles,acceptor_smiles,voc,jsc,ff,pce,pce_recomputed,pce_relative_error_percent,pce_avg,pce_best,d_a_ratio,additive,additive_canonical,additive_ratio,device_structure,device_type,etl,etl_canonical,htl,htl_canonical,active_layer_thickness,solvent,solvent_canonical,annealing_temp,homo_d,lumo_d,eg_d,homo_a,lumo_a,eg_a
105419,10.1002/adma.202107361,10.1002/adma.202107361,,PYTS-0.1,,PYTS-0.1,,,0.92,22.52,68.0,14.19,14.088511999999998,0.7152078928823226,14.04,14.19,,,,,conventional,conventional,,,,,,chlorobenzene,,,,,,,,
105420,10.1002/adma.202107361,10.1002/adma.202107361,,PYTS-0.3,,PYTS-0.3,,,0.92,22.91,70.0,14.68,14.75404,0.5043596730245239,14.35,14.68,,,,,conventional,conventional,,,,,,chlorobenzene,,,,,,,,
105421,10.1002/adma.202107361,10.1002/adma.202107361,,PYTS-0.5,,PYTS-0.5,,CCCCCCCCCCCc1c(/C=C2\C(=O)c3ccccc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CCCCCCCCCCC)c(/C=C7\C(=O)c8cc(-c9ccc(SCCCCCCCCSc%10ccc(-c%11ccc%12c(c%11)C(=O)/C(=C\c%11sc%13c(sc%14c%15c%16nsnc%16c%16c%17sc%18c(CCCCCCCCCCC)c(/C=C%19\C(=O)c%20cc(-c%21cccs%21)ccc%20C%19=C(C#N)C#N)sc%18c%17n(CC(CCCCCCCC)CCCCCCCCCC)c%16c%15n(CC(CCCCCCCC)CCCCCCCCCC)c%13%14)c%11CCCCCCCCCCC)C%12=C(C#N)C#N)s%10)s9)ccc8C7=C(C#N)C#N)sc6c5n(CC(CCCCCCCC)CCCCCCCCCC)c4c3n(CC(CCCCCCCC)CCCCCCCCCC)c21,0.92,14.46,60.0,7.91,7.9819200000000015,0.9092288242730886,7.68,7.91,,,,,conventional,conventional,,,,,,chlorobenzene,,,,,,-5.89,-4.19,
105422,10.1002/adma.202107361,10.1002/adma.202107361,,PYTS-1.0,,PYTS-1.0,,CCCCCCCCCCCc1c(/C=C2\C(=O)c3ccccc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CCCCCCCCCCC)c(/C=C7\C(=O)c8cc(-c9ccc(SCCCCCCCCSc%10cccs%10)s9)ccc8C7=C(C#N)C#N)sc6c5n(CC(CCCCCCCC)CCCCCCCCCC)c4c3n(CC(CCCCCCCC)CCCCCCCCCC)c21,0.89,4.31,44.0,1.71,1.687796,1.2984795321637492,1.64,1.71,,,,,conventional,conventional,,,,,,chlorobenzene,,,,,,-5.87,-4.17,
105423,10.1002/adma.202108749,10.1002/adma.202108749,PTQ10,PY-IT,PTQ10,PY-IT,CCCCCCCCC(CCCCCC)COc1cnc2c(-c3cccs3)c(F)c(F)cc2n1,CCCCCCCCCCCc1c(/C=C2\C(=O)c3ccccc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CCCCCCCCCCC)c(/C=C7\C(=O)c8cc(-c9cccs9)ccc8C7=C(C#N)C#N)sc6c5n(CC(CCCCCCCC)CCCCCCCCCC)c4c3n(CC(CCCCCCCC)CCCCCCCCCC)c21,0.96,18.51,68.16,12.11,12.11175936,0.0145281585466509,11.87,12.11,1.2:1.0,CN,CN,,ITO/PEDOT:PSS/active layer/PDINN/Ag,conventional,PDINN,PDINN,PEDOT:PSS,PEDOT:PSS,,chloroform,chloroform,95.0,-5.54,-2.92,,-5.68,-3.94,
105424,10.1002/adma.202108749,10.1002/adma.202108749,PM6,PY-IT,PM6,PY-IT,COC(=O)C(C)(C)c1cc(C)cc(-c2sc3c4sc5cc(/C=C6/C(=O)c7cc(F)cc(c7)C(=O)/C6=C\c6cc(C(C)(C)C(=O)OC)c(-c7cc(C)cc(C(C)(C)C(=O)OC)c7)s6)sc5c4c(C(C)(C)C(=O)OC)ccc2-3)c1,CCCCCCCCCCCc1c(/C=C2\C(=O)c3ccccc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CCCCCCCCCCC)c(/C=C7\C(=O)c8cc(-c9cccs9)ccc8C7=C(C#N)C#N)sc6c5n(CC(CCCCCCCC)CCCCCCCCCC)c4c3n(CC(CCCCCCCC)CCCCCCCCCC)c21,0.92,23.27,70.55,15.1,15.1036262,0.0240145695364195,14.91,15.1,1.2:1.0,CN,CN,,ITO/PEDOT:PSS/active layer/PDINN/Ag,conventional,PDINN,PDINN,PEDOT:PSS,PEDOT:PSS,,chloroform,chloroform,95.0,-5.56,-3.65,,-5.68,-3.94,
105426,10.1002/adma.202109516,10.1002/adma.202109516,PTQ10,BTP-Th,PTQ10,BTP-Th,CCCCCCCCC(CCCCCC)COc1cnc2c(-c3cccs3)c(F)c(F)cc2n1,CCCCCCc1ccc(-c2c(/C=C3\C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)sc3c2sc2c4c5nsnc5c5c6sc7c(-c8ccc(CCCCCC)s8)c(/C=C8\C(=O)c9cc(F)c(F)cc9C8=C(C#N)C#N)sc7c6n(CC(CCCC)CCCCCC)c5c4n(CC(CCCC)CCCCCC)c32)s1,0.901,24.38,72.4,15.89,15.903659120000002,0.0859604782882415,15.5,15.89,1:1.2,0,,,ITO/PEDOT:PSS/active layer/PNDIT-F3N/Ag,conventional,PNDIT-F3N,PNDIT-F3N,PEDOT:PSS,PEDOT:PSS,,,,,-5.54,-2.92,,-5.75,-3.96,
105427,10.1002/adma.202109516,10.1002/adma.202109516,PTQ10,BTP-FTh,PTQ10,BTP-FTh,CCCCCCCCC(CCCCCC)COc1cnc2c(-c3cccs3)c(F)c(F)cc2n1,CCCCCCc1sc(-c2c(/C=C3\C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)sc3c2sc2c4c5nsnc5c5c6sc7c(-c8cc(F)c(CCCCCC)s8)c(/C=C8\C(=O)c9cc(F)c(F)cc9C8=C(C#N)C#N)sc7c6n(CC(CCCC)CCCCCC)c5c4n(CC(CCCC)CCCCCC)c32)cc1F,0.849,26.33,76.7,17.16,17.145648389999998,0.0836340909091029,16.73,17.16,1:1.2,0,,,ITO/PEDOT:PSS/active layer/PNDIT-F3N/Ag,conventional,PNDIT-F3N,PNDIT-F3N,PEDOT:PSS,PEDOT:PSS,,,,,-5.54,-2.92,,-5.8,-4.04,
105428,10.1002/adma.202109516,10.1002/adma.202109516,PTQ10,IDIC,PTQ10,IDIC,CCCCCCCCC(CCCCCC)COc1cnc2c(-c3cccs3)c(F)c(F)cc2n1,CCCCCCC1(CCCCCC)c2cc3c(cc2-c2sc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)cc21)C(CCCCCC)(CCCCCC)c1cc(/C=C2\C(=O)c4ccccc4C2=C(C#N)C#N)sc1-3,0.967,17.38,73.8,12.32,12.403167479999995,0.6750607142856869,12.01,12.32,1:1.2,0,,,ITO/PEDOT:PSS/active layer/PNDIT-F3N/Ag,conventional,PNDIT-F3N,PNDIT-F3N,PEDOT:PSS,PEDOT:PSS,,,,,-5.54,-2.92,,-5.69,-3.91,
105434,10.1002/adma.202110155,10.1002/adma.202110155,PM6,PY-HD,PM6,PY-HD,COC(=O)C(C)(C)c1cc(C)cc(-c2sc3c4sc5cc(/C=C6/C(=O)c7cc(F)cc(c7)C(=O)/C6=C\c6cc(C(C)(C)C(=O)OC)c(-c7cc(C)cc(C(C)(C)C(=O)OC)c7)s6)sc5c4c(C(C)(C)C(=O)OC)ccc2-3)c1,CCCCCCCCC(CCCCCC)Cn1c2c3sc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)c(CC(CCCC)CCCCCC)c3sc2c2c3nsnc3c3c4sc5c(CC(CCCC)CCCCCC)c(/C=C6\C(=O)c7cc(-c8cccs8)ccc7C6=C(C#N)C#N)sc5c4n(CC(CCCCCC)CCCCCCCC)c3c21,0.937,24.05,72.8,16.41,16.4053708,0.0282096282754424,16.15,16.41,,,,,ITO/PEDOT:PSS/active-layer/PNDIT-F3N/Ag,conventional,PNDIT-F3N,PNDIT-F3N,PEDOT:PSS,PEDOT:PSS,,,,,-5.56,-3.65,,-5.52,-3.94,
