donor_smiles,acceptor_smiles,pce,replicate_count,pce_std,pce_min,pce_max,split
CCCCCCCCC1(CCCCCCCC)c2ccccc2-c2ccc(-c3ccc(-c4sc(-c5cccs5)c5c4C(=O)N(CC(CC)CCCC)C5=O)s3)cc21,CCCCC(=O)OCC1(c2ccccc2)C2=CC=Cc3cccc4cccc5ccc6ccccc7cccc1c7c6c5c-4c3C2,0.515,4,0.365,0.22,1.06,train
CCCCCCc1cc(-c2c3cc(-c4c(F)c(F)cc5nsnc45)sc3c(-c3cc(CCCCCC)c(CCCCCC)s3)c3ccsc23)sc1CCCCCC,CCCCC(=O)OCC1(c2ccccc2)c2cccc3cccc4cccc5cccc6cccc1c6c-5c-4c-3c2,5.1,1,0.0,5.1,5.1,train
CCCCCCCCCCc1c(C)sc(C)c1C#Cc1ccc(C=O)s1,CCCCC(=O)OCC1(c2ccccc2)c2cccc3cccc4cccc5cccc6cccc1c6c-5c-4c-3c2,1.17,1,0.0,1.17,1.17,train
CCCCCCc1cc(C)sc1C,CCCCCC[Si]1(CCCCCC)c2ccsc2-c2sc(-c3ccc(C=C(C#N)C#N)c4nsnc34)cc21,0.05,1,0.0,0.05,0.05,train
CCCCC(CC)COC(=O)c1ccsc1-c1ccc(-c2cccs2)s1,CCCCC(=O)OCC1(c2ccccc2)C2=CC=Cc3cccc4cccc5ccc6ccccc7cccc1c7c6c5c-4c3C2,2.14,1,0.0,2.14,2.14,train
CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6cccs6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3ccsc23)s1,CCCCCCCCCCCc1c(/C=C2\C(=O)c3c(ccc(C)c3F)C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CCCCCCCCCCC)c(/C=C7\C(=O)c8c(ccc(-c9ccc(C)s9)c8F)C7=C(C#N)C#N)sc6c5n(C)c4c3n(C)c21,12.54,10,2.68361364995452,9.19,16.13,train
CCCCCCC(CCCC)CCc1c2cc(-c3ccc(-c4c(F)c(F)c(-c5cccs5)c5nn(CC(CCCC)CCCCCC)nc45)s3)sc2c(CCC(CCCC)CCCCCC)c2ccsc12,CCC1(CC)c2cc3c(cc2-c2sc(/C=C/C4=C(C#N)C(=C(C#N)C#N)OC4(C)C)cc21)C(CC)(CC)c1cc(/C=C/C2=C(C#N)C(=C(C#N)C#N)OC2(C)C)sc1-3,0.59,1,0.0,0.59,0.59,train
CCCCCCCCOC(=O)/C(C#N)=C\c1ccc(/C=C/c2csc(-c3ccc4c5ccccc5n(C(CCCCCCCC)CCCCCCCC)c4c3)c2)s1,CCCCC(=O)OCC1(c2ccccc2)c2cccc3cccc4cccc5cccc6cccc1c6c-5c-4c-3c2,0.905,4,0.199562020434751,0.56,1.02,train
CCCCC(CC)Cc1ccc(-c2c3cc(-c4scc5c4C(=O)N(CC(CC)CCCC)C5=O)sc3c(-c3ccc(CC(CC)CCCC)s3)c3ccsc23)s1,CCCCC(=O)OCC1(c2ccccc2)C2=CC=Cc3cccc4cccc5ccc6ccccc7cccc1c7c6c5c-4c3C2,7.1,1,0.0,7.1,7.1,train
CCCCC(CC)COc1c2cc(-c3cc(/C=C/c4ccc(/C=C5\SC(=S)N(CC)C5=O)s4)cs3)sc2c(OCC(CC)CCCC)c2ccsc12,CCCCC(=O)OCC1(c2ccccc2)C2=CC=Cc3cccc4cccc5ccc6ccccc7cccc1c7c6c5c-4c3C2,2.36,5,0.9081739921402728,2.04,4.25,train
CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6cccs6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3ccsc23)s1,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(/C=C3\C(=O)c4ccccc4C3=C(C#N)C#N)sc2-c2sc(-c3cc(F)c(-c4cc5c(s4)-c4sc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)cc4C5(CC(CC)CCCC)CC(CC)CCCC)cc3F)cc21,10.14,3,0.0,10.14,10.14,train
CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6cccs6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3ccsc23)s1,CCCCCCC1(CCCCCC)c2cc(/C=C3\C(=O)c4cc(Cl)c(Cl)cc4C3=C(C#N)C#N)sc2-c2sc(-c3cc4c(s3)-c3sc(/C=C5\C(=O)c6cc(Cl)c(Cl)cc6C5=C(C#N)C#N)cc3C4(CCCCCC)CCCCCC)cc21,9.28,2,0.0,9.28,9.28,train
CCCCCCc1ccsc1,CCN1C(=O)/C(=C/c2ccc(-c3ccc4c(c3)C(CC)(CC)c3cc(-c5ccc(/C=C6\SC(=S)N(CC)C6=O)s5)ccc3-4)s2)SC1=S,3.08,1,0.0,3.08,3.08,train
CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6cccs6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3ccsc23)s1,CCCCCCCCCCC(CCCCCCCC)Cc1cc(-c2cc(C(C)C)c3ccc4c(-c5cc(CC(CCCCCCCC)CCCCCCCCCC)c(/C=C6\C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)s5)cc(C(C)C)c5ccc2c3c45)sc1/C=C1\C(=O)c2cc(F)c(F)cc2C1=C(C#N)C#N,9.73,1,0.0,9.73,9.73,train
N=Cc1ccc(N(c2ccccc2)c2ccc(/C=N/c3ccc(-c4ccc(-c5ccccc5)cc4)cc3)cc2)cc1,CCCCC(=O)OCC1(c2ccccc2)c2cccc3cccc4cccc5cccc6cccc1c6c-5c-4c-3c2,0.05,1,0.0,0.05,0.05,train
CCCCCCc1ccsc1,CCCCCCCCc1csc(-c2ccc(-c3ccc(-c4cc(CCCCCCCC)cs4)c4nsnc34)c3nsnc23)c1,0.245,2,0.0353553390593274,0.22,0.27,train
CCCCCCc1cc(C)sc1C,CCCCCCCCCCC(CCCCCCCC)CN1C(=O)c2ccc3c4c(c(-c5ccc(-c6cccs6)s5)cc(c24)C1=O)C(=O)N(CC(CCCCCCCC)CCCCCCCCCC)C3=O,9.8395,2,2.820648950153138,7.845,11.834,train
CCCCC(CC)COc1c2cc(-c3scc(F)c3F)sc2c(OCC(CC)CCCC)c2ccsc12,CCCCC(=O)OCC1(c2ccccc2)C2=CC=Cc3cccc4cccc5ccc6ccccc7cccc1c7c6c5c-4c3C2,6.050000000000001,4,0.8755950357709136,5.3,7.0,train
CCCCCCCCC1(CCCCCCCC)c2ccccc2-c2ccc(-c3ccc(-c4ccc(-c5cccs5)c5nc(-c6ccccc6)c(-c6ccccc6)nc45)s3)cc21,CCCCC(=O)OCC1(c2ccccc2)C2=CC=Cc3cccc4cccc5ccc6ccccc7cccc1c7c6c5c-4c3C2,3.595,2,1.7889801564019654,2.33,4.86,train
CCCCCCCCN1C(=O)c2c(c(-c3ccc(-c4cc5c(OCC(CC)CCCC)c6sccc6c(OCC(CC)CCCC)c5s4)s3)n(CCCCCCCC)c2-c2cccs2)C1=O,CCCCC(=O)OCC1(c2ccccc2)C2=CC=Cc3cccc4cccc5ccc6ccccc7cccc1c7c6c5c-4c3C2,3.39,2,2.6870057685088806,1.49,5.29,train
