donor_smiles,acceptor_smiles,pce,replicate_count,pce_std,pce_min,pce_max
CC(=O)c1cccc(-c2ccc(/N=C/c3ccc(-c4ccc(-c5ccc(C=N)s5)s4)s3)c(C(C)=O)c2)c1,CCCCC(=O)OCC1(c2ccccc2)c2cccc3cccc4cccc5cccc6cccc1c6c-5c-4c-3c2,0.05,11,0.107169788822987,0.001,0.36
CC(=O)c1cccc(-c2ccc(/N=C/c3ccc(-c4ccc(-c5ccc(C=N)s5)s4)s3)c(C(C)=O)c2)c1,COC(=O)CCCC1(c2ccccc2)C23c4c5ccc6c7cc8c9c%10c(cc%11cc%12c%13c%14c(cc%15c%16ccc-5c2c%16c2c5c%16c%17c(c(c46)c7c9c%17c4c%10c%11c%13c4c%16c%14c%152)C513)C%12)C8,0.06,5,0.2147556751287378,0.02,0.52
CC(=O)c1cccc(-c2ccc(/N=C/c3ccc(C=N)s3)c(C(C)=O)c2)c1,CCCCC(=O)OCC1(c2ccccc2)c2cccc3cccc4cccc5cccc6cccc1c6c-5c-4c-3c2,0.01,5,0.0682458789964639,0.005,0.16
CC(=O)c1cccc(-c2ccc(/N=C/c3ccc(C=N)s3)c(C(C)=O)c2)c1,COC(=O)CCCC1(c2ccccc2)C23c4c5ccc6c7cc8c9c%10c(cc%11cc%12c%13c%14c(cc%15c%16ccc-5c2c%16c2c5c%16c%17c(c(c46)c7c9c%17c4c%10c%11c%13c4c%16c%14c%152)C513)C%12)C8,0.002,1,0.0,0.002,0.002
CC(C)(C)CC(C)(C)c1ccc(Nc2ccc(C(C)(C)CC(C)(C)C)cc2-c2cc(C(C)(C)C)cc(C(C)(C)C)c2O)cc1,c12c3c4c5c1c1c6c7c2c2c8c3c3c9c4c4c%10c5c5c1c1c6c6c%11c%12c%13c%14c%15c%16c%17c%14c%14c%18c%13c%11c1c1c5c%10c5c(c%14c%10c%17c%11c%13c%16c%14c%16c%15c%12c%12c%16c(c2c7c%126)c2c8c3c(c%13c%142)c2c9c4c5c%10c%112)c%181,5.3,9,1.283748850480931,2.5,7.2
CC(C)(C)CC(C)(C)c1ccc(Nc2ccc(C(C)(C)CC(C)(C)C)cc2-c2cc(C(C)(C)C)cc(C(C)(C)C)c2O)cc1,c12c3c4c5c1c1c6c7c2c2c8c3c3c9c4c4c%10c5c5c1c1c6c6c%11c7c2c2c7c8c3c3c8c9c4c4c9c%10c5c5c1c1c6c6c%11c2c2c7c3c3c8c4c4c9c5c1c1c6c2c3c41,0.855,14,0.506581410313017,0.29,1.84
CC(C)CC(NC(=O)C(CCC(=O)O)NC(=O)C(CCC(N)=O)NC(=O)C(CC(C)C)NC(=O)C(N)C(C)C)C(=O)NC(CC(N)=O)C(=O)NC(C(=O)NC(C(=O)NC(C(=O)O)C(C)C)C(C)O)C(C)C,COC(=O)CCCC1(c2ccccc2)C23c4c5ccc6c7cc8c9c%10c(cc%11cc%12c%13c%14c(cc%15c%16ccc-5c2c%16c2c5c%16c%17c(c(c46)c7c9c%17c4c%10c%11c%13c4c%16c%14c%152)C513)C%12)C8,7.59,1,0.0,7.59,7.59
CC(C)CCCC(C)CCC1(CCC(C)CCCC(C)C)Oc2cc(-c3c(F)c(F)cc4nsnc34)sc2-c2sccc21,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3c(sc4cc(C=C5C(=O)c6cc(F)ccc6C5=C(C#N)C#N)sc34)-c3sc4c5c(sc4c32)-c2sc3cc(C=C4C(=O)c6cc(F)ccc6C4=C(C#N)C#N)sc3c2C5(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1,4.0,1,0.0,4.0,4.0
CC(C)CCCC(C)CCC1(CCC(C)CCCC(C)C)Oc2cc(-c3c(F)c(F)cc4nsnc34)sc2-c2sccc21,COC(=O)CCCC1(c2ccccc2)C23c4c5ccc6c7cc8c9c%10c(cc%11cc%12c%13c%14c(cc%15c%16ccc-5c2c%16c2c5c%16c%17c(c(c46)c7c9c%17c4c%10c%11c%13c4c%16c%14c%152)C513)C%12)C8,4.6,4,2.0112351097439274,0.9,5.26
CC(C)CCCC(C)CCC1(CCC(C)CCCC(C)C)Oc2cc(-c3cc(F)cc4nsnc34)sc2-c2sccc21,COC(=O)CCCC1(c2ccccc2)C23c4c5ccc6c7cc8c9c%10c(cc%11cc%12c%13c%14c(cc%15c%16ccc-5c2c%16c2c5c%16c%17c(c(c46)c7c9c%17c4c%10c%11c%13c4c%16c%14c%152)C513)C%12)C8,3.7,1,0.0,3.7,3.7
CC(C)CCCC(C)CCC1(CCC(C)CCCC(C)C)Oc2cc(-c3cccc4nsnc34)sc2-c2sccc21,COC(=O)CCCC1(c2ccccc2)C23c4c5ccc6c7cc8c9c%10c(cc%11cc%12c%13c%14c(cc%15c%16ccc-5c2c%16c2c5c%16c%17c(c(c46)c7c9c%17c4c%10c%11c%13c4c%16c%14c%152)C513)C%12)C8,4.01,1,0.0,4.01,4.01
